Datum,Svet,Slovenija,Australija,Nova Zelandija
2019-12-31,27,0,0,0
2020-01-01,27,0,0,0
2020-01-02,27,0,0,0
2020-01-03,44,0,0,0
2020-01-04,44,0,0,0
2020-01-05,59,0,0,0
2020-01-06,59,0,0,0
2020-01-07,59,0,0,0
2020-01-08,59,0,0,0
2020-01-09,59,0,0,0
2020-01-10,59,0,0,0
2020-01-11,59,0,0,0
2020-01-12,59,0,0,0
2020-01-13,60,0,0,0
2020-01-14,61,0,0,0
2020-01-15,62,0,0,0
2020-01-16,62,0,0,0
2020-01-17,67,0,0,0
2020-01-18,84,0,0,0
2020-01-19,220,0,0,0
2020-01-20,240,0,0,0
2020-01-21,393,0,0,0
2020-01-22,535,0,0,0
2020-01-23,632,0,0,0
2020-01-24,898,0,0,0
2020-01-25,1351,0,1,0
2020-01-26,2024,0,4,0
2020-01-27,2821,0,4,0
2020-01-28,4588,0,4,0
2020-01-29,6068,0,4,0
2020-01-30,7825,0,6,0
2020-01-31,9826,0,7,0
2020-02-01,11947,0,9,0
2020-02-02,14555,0,11,0
2020-02-03,17373,0,11,0
2020-02-04,20616,0,11,0
2020-02-05,24525,0,12,0
2020-02-06,28276,0,13,0
2020-02-07,31494,0,14,0
2020-02-08,34936,0,14,0
2020-02-09,37554,0,14,0
2020-02-10,40546,0,14,0
2020-02-11,43109,0,14,0
2020-02-12,45181,0,14,0
2020-02-13,60332,0,14,0
2020-02-14,64547,0,15,0
2020-02-15,67107,0,15,0
2020-02-16,69269,0,15,0
2020-02-17,71336,0,15,0
2020-02-18,73331,0,15,0
2020-02-19,75195,0,15,0
2020-02-20,75727,0,15,0
2020-02-21,76723,0,17,0
2020-02-22,77808,0,21,0
2020-02-23,78818,0,22,0
2020-02-24,79341,0,22,0
2020-02-25,80136,0,22,0
2020-02-26,81003,0,22,0
2020-02-27,82117,0,23,0
2020-02-28,83388,0,23,1
2020-02-29,85248,0,25,1
2020-03-01,87091,0,26,1
2020-03-02,89159,0,29,1
2020-03-03,91017,0,33,0
2020-03-04,93332,0,41,2
2020-03-05,95689,1,52,3
2020-03-06,98749,6,59,4
2020-03-07,102869,9,63,5
2020-03-08,106849,12,74,0
2020-03-09,111026,16,80,0
2020-03-10,115846,0,100,0
2020-03-11,120963,31,112,0
2020-03-12,128885,57,126,0
2020-03-13,138359,96,156,0
2020-03-14,148823,141,197,6
2020-03-15,161014,181,249,8
2020-03-16,173503,219,298,0
2020-03-17,187741,253,375,0
2020-03-18,204835,275,454,20
2020-03-19,225124,286,565,28
2020-03-20,256328,319,709,39
2020-03-21,288313,341,874,53
2020-03-22,322547,383,1098,66
2020-03-23,356817,414,1709,102
2020-03-24,401377,442,1823,142
2020-03-25,443921,480,2423,189
2020-03-26,497746,528,2799,262
2020-03-27,558855,577,3166,338
2020-03-28,624047,632,3378,416
2020-03-29,686894,691,3809,476
2020-03-30,744262,730,4093,552
2020-03-31,808984,763,4557,647
2020-04-01,883829,814,4707,647
2020-04-02,961465,841,4976,723
2020-04-03,1039111,897,5224,772
2020-04-04,1121114,934,5548,824
2020-04-05,1206388,977,5687,872
2020-04-06,1272649,997,5744,911
2020-04-07,1345952,1021,5844,943
2020-04-08,1423300,1055,5956,969
2020-04-09,1508390,1091,6052,992
2020-04-10,1595798,1124,6152,1015
2020-04-11,1685428,1160,6238,1035
2020-04-12,1760783,1188,6289,1049
2020-04-13,1829304,1205,6322,1064
2020-04-14,1894563,1212,6366,1072
2020-04-15,1971537,1220,6416,1078
2020-04-16,2050356,1248,6458,1084
2020-04-17,2134784,1268,6497,1086
2020-04-18,2217056,1304,6533,1094
2020-04-19,2296749,1317,6586,1098
2020-04-20,2367256,1330,6612,1105
2020-04-21,2441922,1335,6625,1107
2020-04-22,2529232,1340,6647,1112
2020-04-23,2595836,1353,6654,1112
2020-04-24,2674625,1366,6667,1114
2020-04-25,2747774,1373,6687,1117
2020-04-26,2847622,1388,6703,1121
2020-04-27,2929454,1407,6713,1122
2020-04-28,2996235,1407,6725,1124
2020-04-29,3069060,1408,6738,1126
2020-04-30,3148567,1418,6746,1129
2020-05-01,3234241,1429,6762,1132
2020-05-02,3322771,1434,6767,1134
2020-05-03,3403410,1439,6783,1136
2020-05-04,3480427,1439,6801,1137
2020-05-05,3558034,1445,6825,1137
2020-05-06,3637592,1448,6849,1138
2020-05-07,3725894,1449,6875,1139
2020-05-08,3818711,1450,6896,1141
2020-05-09,3908407,1454,6914,1142
2020-05-10,3996830,1457,6929,1144
2020-05-11,4071365,1460,6941,1147
2020-05-12,4142732,1461,6948,1147
2020-05-13,4229850,1463,6964,1147
2020-05-14,4317352,1464,6975,1147
2020-05-15,4414532,1465,6989,1148
2020-05-16,4512768,1465,7019,1148
2020-05-17,4605735,1466,7036,1149
2020-05-18,4684784,1466,7045,1149
2020-05-19,4772741,1467,7060,1153
2020-05-20,4869123,1468,7068,1153
